id,age,fleeb
215,54,6276
237,48,18999
335,63,13102
398,54,16028
439,45,18621
528,63,22166
533,39,15258
639,55,15891
670,52,17403
1079,36,15888
1331,50,20127
1589,52,17297
1649,53,19800
1774,37,-1
1865,33,23668
2490,53,20459
2542,69,11251
2790,42,17258
2983,45,11084
3080,62,23138
3148,70,14950
3220,46,17461
3259,68,14606
3537,37,14785
3740,49,17122
3899,75,13485
4236,47,21689
4381,63,17906
4383,53,22152
4456,27,17759
4479,30,20487
4671,26,23427
4691,51,12450
4821,48,18987
4932,54,10457
5072,58,17775
5104,70,12773
5174,39,15487
5231,39,23962
5387,44,21388
5581,41,12872
5604,43,18724
5661,42,20705
5698,36,15023
5721,53,18225
5827,50,19814
5891,45,23468
5892,68,11238
5915,52,15532
6033,44,17512
6246,36,16870
6290,38,14023
6308,43,18013
6603,41,-1
6706,35,13382
6957,48,24530
6990,39,13231
7082,61,12333
7142,48,24063
7243,46,-1
7347,50,22225
7364,49,11716
7373,67,15663
7401,33,16165
7565,51,13094
7624,55,13583
7773,62,19821
7866,30,28311
7959,73,11577
7987,38,17711
8088,48,12247
8391,36,15555
8404,58,11332
8410,50,20379
8969,61,16183
9071,40,23794
9289,47,17870
9416,53,14327
9427,49,17013
9562,42,20664
9778,56,13793
9804,44,19409
9955,60,12996
10022,52,19283
10056,52,15899
10110,50,18064
10117,52,11770
10203,50,9175
10252,53,17631
10534,39,17748
10653,49,15280
10946,34,21874
10949,50,10320
11052,51,17748
11062,54,14152
11241,55,16912
11368,44,12281
11458,65,7859
11517,33,16190
11960,42,16867
12057,52,11093
12104,41,16440
12274,52,10756
12320,37,20676
12592,57,27202
12939,54,15598
13116,53,11397
13117,31,21206
13181,60,28318
13252,34,15788
13269,64,7684
13310,63,19238
13356,53,10502
13363,45,23065
13537,36,22110
13692,40,16448
13762,44,17224
13763,47,15483
13999,51,25310
14117,63,19333
14383,60,10129
14508,42,18852
14549,73,7979
14804,42,-1
14823,43,16788
14841,35,20099
15062,58,10213
15215,52,17824
15222,56,13798
15479,58,14040
15565,50,17109
15815,51,21339
15841,73,15592
16090,52,17576
16366,39,11690
16458,42,18232
16500,58,17085
16761,41,15441
16762,38,22344
16791,47,18860
16880,45,22415
16945,60,12173
16979,31,21026
17223,23,22093
17327,41,23258
17335,62,19991
17365,38,16046
17552,47,18278
17600,63,18364
17711,53,21114
17913,54,9241
17987,57,19416
18097,37,22236
18107,49,12347
18117,45,23207
18171,55,11929
18255,44,3958
18321,40,18882
18399,53,19580
18538,54,16396
18837,46,16390
18839,59,18620
18883,34,19644
18905,52,16888
18934,40,20634
19088,37,7675
19273,49,13717
19277,43,18570
19348,53,13839
19526,51,18815
19574,61,17765
19716,52,20625
19731,36,16338
19744,55,11598
19764,58,22374
20049,50,12916
20127,47,12801
20277,68,14144
20488,41,15720
20531,58,18368
20665,50,14704
20669,57,16710
20719,40,17072
20758,37,17458
20830,39,17133
20969,49,12696
20986,62,15987
21209,53,21014
21330,44,21626
21526,60,18083
21613,49,17280
21700,52,7954
21743,60,18135
22020,50,11351
22045,38,14654
22112,65,24782
22297,45,15731
22389,39,26584
22453,47,15436
22457,46,17897
22648,37,11557
22704,70,14032
22766,78,21153
22790,60,15087
23036,55,-1
23213,33,25993
23334,65,12061
23475,46,15755
23645,61,14818
23776,41,15661
23999,54,17820
24144,40,24896
24166,77,14667
24231,49,21727
24285,61,12184
24509,64,9359
24546,59,4996
24663,54,17354
24679,55,10428
24967,52,21445
24977,70,-1
25327,48,16050
25406,27,21714
25448,55,22091
25519,49,15950
25650,54,8958
25683,58,15325
25747,39,24831
25806,53,16022
25864,62,15353
25929,52,13433
26059,38,16009
26117,44,17187
26144,56,13107
26163,64,18236
26191,43,19823
26237,36,23472
26506,33,18868
26879,50,17890
27097,57,20914
27112,57,19330
27186,42,16190
27213,28,17451
27271,47,18491
27334,49,10945
27484,43,9860
27546,44,17497
27551,34,22683
27581,57,7515
27615,46,22540
27617,69,21678
27628,40,19724
27690,43,20769
27867,55,11314
27875,44,10241
27989,44,21643
28092,53,13863
28209,59,19606
28318,56,23917
28332,66,17211
28496,73,15928
28515,47,20708
28563,64,12968
28649,56,21069
28660,64,20586
28685,63,27777
28817,44,16127
29047,66,14804
29106,54,12011
29397,53,15031
29520,49,8348
29528,56,22670
29579,49,19691
29754,55,16063
29851,43,25084
29868,41,24876
29902,50,18470
29963,44,20565
29984,43,8447
30020,52,11401
30143,44,14629
30191,60,13579
30418,26,21433
30498,54,20162
30525,51,22141
30881,36,10963
30890,70,17519
30998,56,18672
31165,39,16113
31231,59,18047
31253,55,17513
31285,43,-1
31304,47,18908
31486,41,15771
31504,48,16461
31516,37,21711
31550,54,26885
31628,65,17459
31769,63,13602
31774,68,15939
31948,35,18813
32008,37,23277
32135,56,17845
32158,52,14489
32325,36,25541
32343,50,22778
32347,50,13991
32511,44,16626
32552,55,14970
32608,56,16422
32617,43,10406
32843,49,-1
33226,56,18933
33287,54,21922
33297,37,18832
33327,70,13640
33333,18,27601
33397,39,16507
33416,64,15486
33470,26,17564
33515,44,26416
33657,37,11956
33809,60,18375
33834,77,5764
33914,53,15349
34124,31,22515
34143,71,11124
34164,47,19973
34180,48,-1
34183,41,22509
34220,33,17780
34224,54,12877
34258,48,14366
34418,59,14671
34445,37,17089
34448,64,16770
34474,42,26349
34753,54,24191
34788,39,-1
34826,25,-1
34886,68,11310
34909,49,13365
34966,43,18063
35092,71,17080
35111,53,17808
35168,49,16850
35208,86,16702
35321,48,7206
35322,58,4764
35400,60,19303
35570,35,18815
35586,57,15310
35656,22,16287
35696,67,14014
35704,43,21386
35762,48,-1
35771,55,25193
36022,48,15779
36048,56,23629
36092,45,15709
36122,44,23519
36123,37,24752
36313,30,16649
36341,30,17081
36369,70,9830
36392,29,17185
36458,64,15101
36544,56,18320
36568,56,12482
36622,33,23791
36746,65,25075
36921,59,18147
36961,52,4831
37050,75,14854
37066,59,13784
37236,47,13603
37293,57,17409
37314,55,18775
37392,64,15921
37416,61,14737
37531,39,11270
37618,43,25712
37890,42,15178
38327,52,17363
38414,50,14785
38439,69,12241
38521,73,14202
38534,46,25057
38632,59,19229
38826,42,18051
38843,31,15965
39183,73,11333
39206,55,13226
39275,62,17070
39334,57,13131
39344,45,16150
39492,33,17202
39556,53,16665
39570,39,12303
39963,30,13612
39993,69,16810
40169,49,19539
40195,45,18697
40290,47,18738
40393,52,12129
40533,49,21166
40555,56,9125
40561,43,20163
40622,77,12555
40709,57,11814
40713,45,18349
40774,54,18511
40807,42,12532
40845,54,14917
40883,45,15215
41001,40,8161
41188,60,14965
41190,49,15958
41501,62,11147
41608,37,18492
41611,77,13831
41777,51,22039
41814,62,15522
41869,57,16893
42104,55,17117
42138,38,25914
42177,50,16053
42300,58,11570
42334,58,20150
42360,46,19986
42403,35,23577
42487,57,24433
42502,54,16394
42542,37,19796
43152,48,19569
43315,57,23315
43395,56,12275
43498,41,14553
43688,24,16625
43737,58,17621
43738,38,12842
43860,43,22393
43903,55,16196
43909,48,17695
43982,43,14956
44059,71,15824
44214,58,17622
44307,38,12857
44370,56,13700
44397,39,19097
44491,35,13818
44494,48,22076
44539,27,20329
44569,45,15132
44669,46,19007
44741,52,18438
44743,39,23211
44892,40,13519
44904,41,15669
44961,40,13992
45025,30,17165
45063,59,16888
45091,60,14338
45240,57,15330
45317,73,15660
45508,58,19237
45812,69,12926
46122,40,16075
46302,41,18045
46360,50,18555
46412,58,16260
46469,40,19899
46483,38,20258
46521,62,8635
46884,53,21825
46948,54,10247
47299,55,20708
47440,59,14778
47452,44,18104
47471,43,12720
47536,48,-1
47728,62,19659
47923,39,17139
47932,62,18087
48125,63,10968
48146,52,15147
48378,44,19859
48410,48,13949
48670,51,21284
48789,37,23529
48892,43,20110
48952,64,17866
48979,49,11737
49046,51,17196
49222,34,21075
49241,55,21385
49247,60,15822
49261,41,16055
49290,46,10763
49420,42,14943
49501,49,18228
49582,55,11954
49612,44,-1
49619,58,11007
49765,42,20425
49767,32,26396
50101,23,12906
50194,60,-1
50225,47,11503
50318,61,17098
50390,36,20880
50451,65,12114
50512,59,9414
50565,53,19816
50634,56,18382
50664,55,20198
50703,53,19705
50736,58,13947
50926,53,13918
50951,44,14232
51066,26,25393
51346,52,22069
51403,27,-1
51417,49,24645
51427,42,12869
51577,43,15459
51713,42,14610
51779,49,10797
51816,71,20485
51861,71,13943
51959,56,13775
51975,50,18160
52121,60,13707
52239,59,16603
52240,52,15408
52245,65,17391
52372,34,12585
52377,49,14837
52384,57,19451
52400,73,15136
52445,15,11655
52502,42,14120
52519,47,12849
52602,40,18242
52709,56,16178
52715,50,-1
52876,39,-1
52884,51,9274
52944,32,16064
52981,49,14288
53013,74,17084
53072,53,17619
53158,48,18571
53248,43,9728
53285,53,16293
53558,57,16388
53718,34,17626
53787,62,10547
54027,53,9305
54164,67,5760
54170,50,23982
54475,53,8792
54510,54,15957
54532,29,11370
54694,36,18702
54768,52,11740
54819,59,18324
54921,64,15348
54923,66,18946
55060,31,27497
55157,59,23511
55411,61,16692
55722,63,18145
55919,51,15976
55945,32,16607
55963,32,21267
56189,44,26645
56220,47,9005
56342,55,10746
56423,26,28575
56433,70,22082
56485,71,18250
56659,55,11751
56758,32,22868
56858,54,-1
56929,42,11025
56932,61,10325
57007,45,17142
57135,60,17680
57276,54,8326
57455,44,20392
57526,61,19797
57694,52,21111
57707,46,13003
57769,48,17308
57902,75,16696
57992,40,18204
58030,62,16269
58239,72,18390
58261,50,19965
58281,49,16876
58559,32,20246
58769,46,24518
58809,63,12866
58876,62,22323
58944,67,16967
59071,58,15732
59096,51,19637
59131,51,19952
59222,35,20869
59367,45,17344
59822,57,15548
59827,73,22851
60011,39,19785
60045,47,23377
60103,60,9372
60126,51,15121
60263,50,26747
60758,65,15286
60896,35,20116
60903,55,19614
60904,44,21161
61000,43,22412
61015,49,16377
61024,32,20313
61417,36,10276
61434,71,2993
61757,39,10008
61809,60,13048
61905,32,21927
62228,45,14839
62282,37,20580
62305,39,21295
62428,47,14030
62609,49,19388
62708,39,24192
62773,56,16271
62873,53,15878
62918,50,17367
63016,50,15409
63063,30,13056
63129,46,-1
63301,61,21090
63468,40,28511
63480,32,-1
63624,73,20316
63684,47,15412
63700,65,-1
63943,51,21974
64105,53,14769
64288,63,16938
64422,37,21539
64504,58,19380
64549,43,17763
64583,23,12551
64589,52,20665
64643,36,18080
64697,27,20610
65057,51,19515
65172,45,15328
65187,58,15754
65500,59,13278
65566,65,13447
65952,63,14863
66024,37,20974
66062,35,19826
66156,35,13192
66170,23,18119
66206,50,19009
66260,56,9910
66296,57,14431
66356,50,18341
66461,42,10433
66559,40,-1
66673,34,18527
66683,32,11879
66731,13,13780
66745,57,16789
67013,38,15968
67138,39,12942
67228,54,22089
67425,44,14738
67427,53,12911
67544,56,11918
67611,49,12409
67626,48,11478
67698,32,19325
67720,58,12264
67806,84,8251
67997,45,6947
68094,39,-1
68156,37,22471
68342,12,23704
68471,55,21343
68635,53,23825
68703,37,23943
68727,65,18568
68903,66,14992
68911,49,15864
69064,39,18931
69165,58,20345
69211,41,22680
69245,41,18406
69522,46,18380
69613,56,11891
69644,29,21389
69922,61,22480
69937,48,20724
70095,47,23850
70131,44,25705
70275,21,17726
70290,31,16656
70330,45,22100
70370,53,20444
70380,51,20729
70542,44,-1
70560,40,23086
70707,46,-1
70802,37,13284
71151,30,5416
71383,50,-1
71385,40,12489
71854,41,15225
71862,61,13876
71874,57,7863
71913,39,9419
71944,39,20900
72062,62,13740
72143,55,18854
72219,79,13418
72242,44,19300
72334,56,13163
72384,50,11140
72414,63,15953
72451,53,19559
72566,50,21383
72732,31,23196
72735,58,16258
72779,45,14627
72870,54,14458
73105,50,-1
73229,67,11524
73383,55,22085
73420,61,9122
73434,66,17739
73463,68,18725
73505,45,9177
73633,37,19582
73852,33,17491
73985,52,19874
73994,50,8367
74022,53,18312
74036,57,18022
74040,65,9298
74163,44,19100
74214,31,20489
74221,45,19387
74244,48,16207
74377,35,13262
74648,56,20343
74650,32,15738
74688,38,14296
74910,53,26202
74977,63,12803
75001,49,18669
75157,56,17899
75224,55,16756
75418,59,18930
75434,58,19564
75570,51,15309
75583,40,17599
75693,51,20321
75817,50,18344
76110,69,13180
76232,39,15416
76570,56,20061
76636,66,13885
76828,52,20063
76914,56,21256
76932,46,-1
77023,73,14527
77166,46,11556
77285,51,18223
77487,40,11635
77528,65,7759
77772,31,18995
77974,55,17369
78040,39,26537
78323,46,23219
78333,64,15958
78922,41,16962
79128,51,18517
79145,43,16933
79301,36,22036
79419,24,13553
79562,47,26554
79618,42,22058
79645,62,23421
79654,56,15282
79685,42,18456
79739,32,23865
79770,47,14535
79835,50,21123
80236,43,19323
80495,62,15357
80582,56,17857
80710,28,19488
80731,52,17485
80745,53,7283
80817,41,18016
80866,65,15728
80873,40,18511
81061,55,17181
81097,34,21300
81140,43,17229
81272,54,23055
81361,49,18601
81492,47,19439
81501,43,14663
81512,51,15388
81556,32,20952
81562,55,12576
81711,56,8931
81747,49,9589
81933,54,20557
81937,58,8799
81940,42,17993
81947,21,22027
81997,59,5805
82057,44,18120
82069,43,12581
82272,42,9916
82630,38,18759
82727,30,17509
82793,54,15618
82980,43,23209
83025,77,-1
83067,45,24619
83221,57,20288
83225,76,14505
83302,47,22563
83317,49,21032
83377,31,13324
83388,41,14079
83399,38,21495
83413,44,18680
83527,60,7521
83595,55,15672
83719,61,15476
83887,42,20825
83920,55,16404
84006,48,14203
84038,63,12265
84168,35,17878
84353,41,16344
84456,50,5460
84480,50,20692
84514,52,6056
84566,37,10801
84573,66,9109
84797,46,19026
84827,44,14440
84835,57,17391
85033,46,16484
85037,59,8227
85163,50,21296
85246,45,20118
85346,42,23042
85460,43,20550
85495,57,16655
85538,38,23648
85585,51,32772
85866,30,18701
85935,61,25917
86040,53,17421
86173,33,19265
86297,56,17290
86354,42,24735
86660,53,17829
86767,36,17967
87016,58,24026
87142,49,14348
87161,66,19193
87205,44,24682
87237,62,12385
87319,61,27699
87531,47,18648
87634,36,12537
87667,43,15957
87816,51,14857
87827,52,19818
87854,38,17187
87972,59,6804
88041,72,15838
88129,23,20062
88597,51,17767
88987,45,19781
89236,47,14749
89324,45,6557
89709,39,28243
89882,53,13758
89910,47,15526
90092,77,9503
90093,39,14468
90107,45,14610
