Height,Weight,Age
83,260,25
74,180,22
77,215,33
81,260,21
81,235,27
73,171,27
77,200,27
77,200,24
71,175,22
76,195,24
80,250,28
84,255,24
84,238,22
81,235,28
82,235,31
79,220,31
83,260,27
78,219,30
82,235,23
83,253,37
79,240,32
75,209,29
75,185,23
84,265,25
79,185,28
81,217,21
80,245,33
74,180,36
80,235,28
79,235,35
78,218,38
81,235,32
84,255,27
81,209,22
77,200,23
82,260,22
79,260,33
78,205,21
74,195,25
75,205,31
82,240,30
73,205,29
81,240,35
85,235,30
80,230,29
75,180,36
78,220,23
84,250,32
85,245,25
81,220,22
83,255,25
80,260,22
78,215,24
77,197,21
78,208,20
76,210,22
78,185,21
82,228,19
83,230,22
79,205,24
79,226,23
80,220,25
78,225,32
75,220,24
81,225,24
83,270,31
83,200,25
81,250,27
82,240,30
80,218,24
72,180,25
75,190,24
76,190,27
78,200,24
79,214,25
72,205,27
79,233,22
79,217,24
80,248,28
72,175,28
81,237,26
84,257,21
78,215,31
80,230,27
79,197,22
84,270,28
75,190,24
81,266,31
81,220,28
76,190,32
83,232,28
77,210,26
79,200,21
79,220,24
81,225,28
74,189,20
82,230,22
81,230,33
82,250,36
82,235,32
76,185,23
75,197,29
78,222,26
74,200,27
75,191,21
76,215,21
80,235,33
82,225,25
79,197,19
81,227,22
80,240,20
83,260,30
84,285,25
78,200,23
78,219,26
84,250,23
82,270,20
82,275,24
75,202,36
77,205,27
78,205,20
81,225,27
73,169,23
81,236,21
83,250,23
72,185,30
81,210,25
80,230,25
83,232,29
82,231,26
73,181,22
78,225,33
81,253,27
77,200,30
77,210,23
74,180,27
81,245,33
78,220,28
79,220,22
77,220,24
75,205,25
81,240,33
81,235,29
75,203,25
80,210,23
83,230,26
74,175,29
80,228,30
86,278,26
79,228,33
76,210,25
82,240,26
76,190,22
82,235,26
83,235,24
84,240,25
78,230,31
75,189,21
76,210,28
74,175,32
79,215,22
83,275,29
83,220,22
81,205,18
76,215,31
74,181,25
78,225,33
73,175,26
80,253,28
80,212,27
82,260,31
76,185,22
75,215,24
84,247,27
76,220,22
82,250,28
82,245,27
74,168,20
79,212,32
80,237,25
81,254,34
81,229,21
82,280,28
80,221,23
84,230,20
84,280,31
79,243,27
73,185,33
75,190,27
75,200,30
76,215,25
82,240,26
82,225,27
79,232,19
73,172,23
84,263,33
80,240,28
79,225,24
84,260,23
82,235,24
80,190,23
79,201,23
83,235,29
76,220,31
81,250,40
80,250,28
82,230,34
82,228,35
74,190,27
84,285,25
80,215,32
81,230,15
74,170,24
80,220,35
77,205,38
80,235,33
81,245,31
76,210,21
82,240,23
77,215,27
77,214,21
82,240,22
74,187,30
81,289,27
80,226,21
72,190,31
82,220,34
80,218,20
80,232,23
81,250,23
79,260,30
76,191,24
80,210,28
76,195,23
76,207,20
75,175,26
81,250,33
79,230,26
81,275,23
78,211,22
78,195,27
81,200,20
83,240,23
80,230,23
80,240,25
83,250,31
82,255,30
84,255,23
81,215,23
79,228,35
78,215,23
72,189,24
83,250,32
82,240,28
79,197,21
75,211,31
79,240,23
75,185,27
71,176,20
75,190,30
76,200,25
78,220,36
76,200,25
82,210,25
84,245,35
79,270,24
72,161,28
72,198,22
73,180,25
84,255,27
82,250,22
81,252,21
75,200,25
79,235,28
83,265,27
77,220,24
75,180,20
81,225,25
84,222,23
83,235,39
81,200,24
79,195,31
81,204,22
83,250,24
78,205,27
84,265,24
80,205,28
80,218,33
78,194,24
77,205,22
81,207,23
75,200,25
76,213,31
73,185,25
78,225,25
81,215,33
82,228,24
82,228,24
85,265,28
81,260,32
75,195,33
83,260,27
84,235,23
81,215,22
81,261,26
80,225,25
78,220,24
77,210,27
80,235,23
77,205,33
75,215,24
76,180,23
84,240,27
81,225,30
73,180,27
82,220,20
76,200,21
82,240,25
81,217,19
78,220,22
79,225,22
77,200,27
78,210,26
75,185,21
72,185,25
74,180,31
81,240,26
82,235,33
82,260,26
78,205,36
83,255,37
83,240,28
77,200,26
80,235,31
81,235,25
79,220,25
83,235,21
75,185,22
79,220,22
71,195,25
76,213,29
81,242,25
82,225,25
69,180,29
83,225,24
80,225,26
74,200,37
85,250,27
81,210,20
84,252,25
80,228,23
79,206,20
83,245,23
82,245,30
81,188,27
81,240,21
77,189,23
79,185,30
78,225,20
78,190,24
80,241,22
76,180,22
79,218,25
72,175,29
83,290,27
79,215,30
83,210,28
80,230,26
82,250,25
75,187,24
79,215,29
83,235,21
82,255,32
82,280,28
73,210,39
79,245,31
82,235,24
77,180,21
84,250,20
75,208,23
79,206,21
82,255,23
87,263,26
81,230,24
82,232,20
79,250,22
78,215,23
76,190,26
75,195,23
73,195,34
83,240,31
77,220,26
74,170,23
75,197,22
81,205,27
74,185,25
78,174,22
77,183,24
85,250,21
83,240,28
81,235,25
83,225,26
78,200,21
73,195,30
82,237,22
84,255,25
80,200,24
84,240,27
85,235,21
83,267,21
79,230,33
78,210,28
73,185,20
75,175,22
71,157,30
81,240,27
75,185,35
78,195,22
82,246,22
80,207,23
75,196,26
81,196,25
74,185,27
74,185,23
82,245,26
83,255,34
75,191,22
78,207,29
81,240,30
79,205,23
84,260,28
77,201,24
79,230,23
75,185,25
83,255,23
80,210,21
84,275,24
81,235,22
72,160,26
72,175,28
76,190,29
73,195,22
83,265,25
82,230,33
79,225,28
77,200,33
84,240,28
79,226,33
79,200,22
82,251,24
81,235,37
75,201,32
78,220,22
79,230,27
81,230,27
78,200,28
74,180,26
80,239,24
83,230,22
75,172,33
84,265,31
75,178,39
79,215,26
84,250,33
76,208,26
78,205,35
82,235,26
84,263,24
84,260,26
85,255,20
80,200,27
81,255,23
82,245,25
73,195,23
77,205,27
77,189,19
77,200,23
72,175,25
75,190,27
83,240,29
83,245,30
76,190,24
82,245,24
76,195,22
81,235,24
77,225,28
76,210,27
80,221,23
77,210,22
75,190,22
78,207,33
74,195,24
81,235,24
78,211,26
83,270,23
77,195,20
69,185,24
76,205,26
81,248,30
81,207,29
80,230,27
83,250,27
78,238,30
83,245,24
81,248,26
